Dataset 0,
X,Y
20.07931179643418,2.278752387052265
20.179673774329398,2.4736309184427228
20.272315600078834,2.7172290826808023
20.38039773011984,2.9121076140712603
20.47303955586927,3.2531450440045546
20.542520925181346,3.7890610053283353
20.627442598784995,4.324976966652116
20.681483663805498,4.714734029433032
20.735524728826,4.324976966652116
20.820446402429646,4.617294763737789
20.905368076033294,4.714734029433032
20.990289749636943,4.714734029433032
21.052050966803233,4.519855498042574
21.090651727532162,4.227537700956873
21.12925248826109,3.9352199038711717
21.167853248990024,3.7890610053283353
21.221894314010527,3.642902106785499
21.299095835468385,3.642902106785499
21.33769659619732,3.837780638175957
21.384017509072034,4.130098435261658
21.461219030529897,4.324976966652116
21.5152600955504,4.2762573338044945
21.546140704133542,4.032659169566415
21.57702131271669,3.9352199038711717
21.60790192129983,3.7890610053283353
21.63106237773719,3.691621739633092
21.677383290611907,3.642902106785499
21.731424355632413,3.7403413724807137
21.7931855727987,3.7403413724807137
21.83178633352763,3.7403413724807137
21.878107246402347,3.7890610053283353
21.924428159277063,3.5941824739378774
21.947588615714423,3.448023575395041
21.97074907215178,3.301864676852176
22.024790137172282,3.0582665126140967
22.063390897901215,3.0582665126140967
22.10971181077593,3.1069861454617183
22.14831257150486,3.301864676852176
22.179193180088006,3.350584309699798
22.202353636525366,3.448023575395041
22.248674549400082,3.448023575395041
22.26411485369165,3.448023575395041
22.294995462274798,3.448023575395041
22.333596223003727,3.350584309699798
22.37219698373266,3.15570577830934
22.38763728802423,2.8633879812236387
22.41079774446159,2.6685094498331807
22.418517896607376,2.5223505512903444
22.449398505190523,2.278752387052265
22.542040330939955,2.4736309184427228
22.495719418065235,2.3761916527474796
22.596081395960457,2.6685094498331807
22.634682156689387,2.8633879812236387
22.688723221709893,2.960827246918882
22.758204591021965,3.0582665126140967
22.835406112479827,3.0582665126140967
22.86628672106297,2.9121076140712603
22.897167329646116,3.0582665126140967
22.943488242520832,3.301864676852176
23.020689763978694,3.448023575395041
23.05157037256184,3.448023575395041
23.097891285436557,3.448023575395041
23.175092806894416,3.496743208242634
23.205973415477562,3.3993039425474194
23.298615241226994,3.2531450440045546
23.252294328352278,3.2531450440045546
23.34493615410171,3.2531450440045546
23.406697371268002,3.350584309699798
23.42985782770536,3.2531450440045546
23.493334634237378,3.1584124245786427
23.525501934844822,3.3275778164106384
23.573752885755983,3.5305762866090333
23.632726270202962,3.5305762866090333
23.664893570810403,3.496743208242634
23.70778330495366,3.3952439731434367
23.772117906168546,3.2599116596778117
23.836452507383427,3.023080111113046
23.88470345829459,2.9554139543802194
23.932954409205756,3.023080111113046
24.01337266072436,3.192245502945042
24.08842969547506,3.3614108947770376
24.12595821285041,3.3614108947770376
24.168847946993665,3.192245502945042
24.21173768113692,3.090746267845816
