111.0,-274.54095458984375
111.1,-274.43463134765625
111.2,-276.4022216796875
110.0,-278.1007995605469
110.1,-276.15643310546875
110.2,-274.71136474609375
101.0,-206.8918914794922
101.1,-206.53433227539062
101.2,-206.97610473632812
101.3,-207.16629028320312
100.0,-137.44992065429688
100.1,-138.06814575195312
001.0,-138.0714111328125
221.0,-555.0791625976562
221.1,-553.0556030273438
212.0,-555.4297485351562
212.1,-555.942138671875
212.2,-555.929931640625
212.3,-555.6786499023438
212.4,-555.7767333984375
212.5,-555.694580078125
211.0,-828.5933837890625
211.1,-829.1231689453125
211.2,-828.5370483398438
211.3,-828.5540161132812
211.4,-829.5745849609375
211.5,-829.8184204101562
211.6,-829.1546020507812
210.0,-415.12445068359375
210.1,-414.65625
210.2,-413.728271484375
201.0,-417.1199645996094
201.1,-417.21820068359375
201.2,-417.92425537109375
201.3,-417.8894348144531
2-12.0,-415.1441345214844
2-12.1,-415.7042236328125
102.0,-417.1629943847656
102.1,-417.0062255859375
102.2,-418.35418701171875
